word,note
some,"特别义: certain, 如 some people = certain people"
still,特别义: 仍然; 静止的
issue,
name,v. 任命; 指定
minute,adj. 微小的 /maɪˈnjuːt/
project,v. 预测; 投射
term,
stock,
survey,
observe,
count,
finding,
cast,
initiative,
occasion,
advance,
index,
characterize,
mask,
regardless,
yield,
wind,
visible,
vindicate,
vicious,
versatile,
unwarranted,
unsettling,
unravel,
adverse,
breeze,
conceive,
concession,
convey,
defy,
distinguished,
flourish,
formidable,
induce,
inflict,
integral,
manifest,
manifestation,
oversee,
ponder,
potent,
proclaim,
propel,
remedy,
spur,
trophy,
underscore,
thrill,
vicinity,
evade,
ascertain,
maritime,
afflict,
impart,
proprietary,
indicative,adj. 表明……的
sensational,
disseminate,
rodent,
hegemony,
decipher,
imprint,
intimidate,
revoke,
subdue,
substantiate,
entrenched,
coalesce,
appalled,
primacy,
promulgate,
flail,
idiosyncratic,
precedence,
understate,
inexplicable,
tranquil,
abate,
aberration,
abhor,
abridge,
absolve,
abstain,
abstract,
absurd,
accentuate,
acclaim,
accord,
accountability,
acquisition,
acute,
adept,
adequate,
admonish,
adorn,
advocate,
aesthetic,
affable,
affirm,
aggravate,
aggregate,
alleviate,
allude,
aloof,
altruistic,
ambiguous,
ambivalent,
ameliorate,
amiable,
ample,
anecdote,
animosity,
anomaly,
antagonize,
anticipate,
apathy,
apprehension,
arbitrary,
archaic,
ardent,
articulate,
artifact,
ascend,
aspiration,
assert,
assess,
astute,
attain,
attribute,
audacious,
augment,
austere,
authentic,
autonomy,
avert,
banal,
benevolent,
benign,
bolster,
brevity,
buttress,
candid,
capricious,
catalyst,
caustic,
censure,
champion,
circumvent,
cite,
clarity,
coherent,
coincide,
collaborate,
commend,
commodity,
compel,
compelling,
compile,
complacent,
complement,
comprehensive,
comprise,
compromise,
conciliatory,
concur,
condone,
conducive,
confer,
confound,
congruent,
conjecture,
connotation,
conscientious,
consensus,
console,
consolidate,
conspicuous,
constitute,
constrain,
contempt,
contend,
contradict,
conventional,
corroborate,
counteract,
covert,
credible,
criteria,
cryptic,
culminate,
cultivate,
cumbersome,
curtail,
cynical,
daunting,
dearth,
debunk,
decorum,
deduce,
deficient,
degrade,
deliberate,
delineate,
demeanor,
denote,
denounce,
deplete,
deplore,
depict,
deride,
derive,
detached,
deter,
detrimental,
deviate,
devise,
didactic,
diligent,
diminish,
discern,
disclose,
discord,
discredit,
discrepancy,
disdain,
dismiss,
disparage,
disparity,
dispel,
disperse,
disposition,
dispute,
disregard,
distort,
divergent,
diverse,
divulge,
docile,
dogmatic,
dubious,
eccentric,
eclipse,
elaborate,
elicit,
eloquent,
elusive,
embellish,
eminent,
empirical,
emulate,
endorse,
endure,
enhance,
enigma,
enthralling,
enumerate,
ephemeral,
equitable,
equivocal,
eradicate,
erratic,
erroneous,
esoteric,
esteem,
evoke,
exacerbate,
exalt,
exasperate,
exemplary,
exemplify,
exhaustive,
exhilarating,
exonerate,
expedite,
explicit,
exploit,
expound,
extol,
extraneous,
facetious,
facilitate,
fallacy,
fastidious,
feasible,
fervent,
fickle,
fleeting,
fluctuate,
foreseeable,
forgo,
fortify,
foster,
frivolous,
frugal,
futile,
galvanize,
garner,
genial,
gratify,
gregarious,
hackneyed,
hamper,
haphazard,
harbinger,
hasten,
haughty,
hinder,
hostile,
hypothetical,
illuminate,
immerse,
imminent,
impair,
impartial,
impede,
imperative,
impertinent,
impetuous,
implausible,
implication,
implicit,
imply,
impose,
imprudent,
inadvertent,
incessant,
incite,
inclination,
incoherent,
incongruous,
incredulous,
indifferent,
indigenous,
indignant,
indispensable,
indulgent,
inevitable,
infer,
ingenious,
ingenuous,
inherent,
inhibit,
innate,
innocuous,
innovative,
insatiable,
insinuate,
insipid,
instigate,
insurmountable,
intact,
integrity,
intermittent,
intricate,
intrinsic,
intuitive,
inundate,
invaluable,
invoke,
irrefutable,
irrelevant,
jeopardize,
judicious,
juxtapose,
keen,
lament,
laudable,
lavish,
lenient,
lethargic,
listless,
lofty,
lucid,
lucrative,
lure,
malleable,
mediate,
meticulous,
mitigate,
modest,
mollify,
momentous,
mundane,
myriad,
naive,
negligent,
nostalgia,
notable,
notorious,
novel,
nuance,
nurture,
obscure,
obsolete,
obstinate,
officious,
ominous,
onerous,
opaque,
opportune,
optimal,
ornate,
orthodox,
ostensible,
oust,
overt,
paradigm,
paradox,
paramount,
partisan,
patronize,
peculiar,
pensive,
perceptive,
peripheral,
perpetual,
perplex,
persevere,
pertinent,
pervasive,
pessimistic,
phenomenon,
placate,
plausible,
plight,
poignant,
pragmatic,
precarious,
precedent,
preclude,
predecessor,
predominant,
premise,
prevail,
prevalent,
pristine,
probe,
prodigious,
profound,
proliferate,
prolific,
prominent,
propensity,
prosaic,
prospect,
prosper,
provocative,
prudent,
pungent,
qualitative,
quantitative,
quell,
quintessential,
ratify,
rationale,
rebuke,
rebut,
recant,
reciprocal,
reconcile,
rectify,
redundant,
refute,
reinforce,
reiterate,
relegate,
relentless,
relinquish,
reluctant,
reminiscent,
renounce,
replete,
reprimand,
reproach,
repudiate,
resilient,
resolute,
resolve,
reticent,
retract,
reverence,
rigorous,
robust,
rudimentary,
ruthless,
salvage,
sanction,
savvy,
scarce,
scorn,
scrupulous,
scrutinize,
secluded,
sentiment,
